11.8
4
NVIDIA GeForce RTX 4090
True
Message sent successfully!
Namespace(batch_size=128, lr=0.01, epochs=20, analyze=False)
SEED 42
[sgd][none][epoch 1] train_loss=2.0043, train_acc=0.2652, test_acc=0.3901
[adam][none][epoch 15] train_loss=1.3578, train_acc=0.5142, test_acc=0.5569
[adam][none][epoch 16] train_loss=1.3404, train_acc=0.5190, test_acc=0.5500
[adam][none][epoch 17] train_loss=1.3544, train_acc=0.5151, test_acc=0.5515
[adam][none][epoch 18] train_loss=1.3483, train_acc=0.5184, test_acc=0.5486
[adam][none][epoch 19] train_loss=1.3437, train_acc=0.5180, test_acc=0.5480
[adam][none][epoch 20] train_loss=1.3356, train_acc=0.5202, test_acc=0.5477
[adam][standard][epoch 1] train_loss=1.9782, train_acc=0.2757, test_acc=0.3604
[adam][standard][epoch 2] train_loss=1.7882, train_acc=0.3426, test_acc=0.3830
[adam][standard][epoch 3] train_loss=1.7298, train_acc=0.3602, test_acc=0.3849
[adam][standard][epoch 4] train_loss=1.7011, train_acc=0.3696, test_acc=0.4051
[adam][standard][epoch 5] train_loss=1.6930, train_acc=0.3764, test_acc=0.4322
[adam][standard][epoch 6] train_loss=1.6891, train_acc=0.3793, test_acc=0.4155
[adam][standard][epoch 7] train_loss=1.6894, train_acc=0.3785, test_acc=0.4244
[adam][standard][epoch 8] train_loss=1.6838, train_acc=0.3799, test_acc=0.4361
[adam][standard][epoch 9] train_loss=1.6820, train_acc=0.3811, test_acc=0.4266
[adam][standard][epoch 10] train_loss=1.6631, train_acc=0.3870, test_acc=0.4309
[adam][standard][epoch 11] train_loss=1.6606, train_acc=0.3863, test_acc=0.4306
[adam][standard][epoch 12] train_loss=1.6556, train_acc=0.3915, test_acc=0.4356
[adam][standard][epoch 13] train_loss=1.6466, train_acc=0.3940, test_acc=0.4422
[adam][standard][epoch 14] train_loss=1.6496, train_acc=0.3945, test_acc=0.4355
[adam][standard][epoch 15] train_loss=1.6502, train_acc=0.3904, test_acc=0.4526
[adam][standard][epoch 16] train_loss=1.6383, train_acc=0.3980, test_acc=0.4489
[adam][standard][epoch 17] train_loss=1.6598, train_acc=0.3888, test_acc=0.4484
[adam][standard][epoch 18] train_loss=1.6430, train_acc=0.3930, test_acc=0.3994
[adam][standard][epoch 19] train_loss=1.6456, train_acc=0.3931, test_acc=0.4483
[adam][standard][epoch 20] train_loss=1.6409, train_acc=0.3942, test_acc=0.4508
[adam][aggressive][epoch 1] train_loss=2.0724, train_acc=0.2302, test_acc=0.3199
[adam][aggressive][epoch 2] train_loss=1.9161, train_acc=0.2906, test_acc=0.3617
[adam][aggressive][epoch 3] train_loss=1.8448, train_acc=0.3195, test_acc=0.3999
[adam][aggressive][epoch 4] train_loss=1.8053, train_acc=0.3348, test_acc=0.4099
[adam][aggressive][epoch 5] train_loss=1.7892, train_acc=0.3404, test_acc=0.4121
[adam][aggressive][epoch 6] train_loss=1.7877, train_acc=0.3387, test_acc=0.3256
[adam][aggressive][epoch 7] train_loss=1.7722, train_acc=0.3472, test_acc=0.4181
[adam][aggressive][epoch 8] train_loss=1.7613, train_acc=0.3479, test_acc=0.3857
[adam][aggressive][epoch 9] train_loss=1.7486, train_acc=0.3553, test_acc=0.3986
[adam][aggressive][epoch 10] train_loss=1.7620, train_acc=0.3498, test_acc=0.3982
[adam][aggressive][epoch 11] train_loss=1.7493, train_acc=0.3537, test_acc=0.4078
[adam][aggressive][epoch 12] train_loss=1.7450, train_acc=0.3541, test_acc=0.4106
[adam][aggressive][epoch 13] train_loss=1.7524, train_acc=0.3513, test_acc=0.4204
[adam][aggressive][epoch 14] train_loss=1.7393, train_acc=0.3585, test_acc=0.4125
[adam][aggressive][epoch 15] train_loss=1.7469, train_acc=0.3586, test_acc=0.3921
[adam][aggressive][epoch 16] train_loss=1.7383, train_acc=0.3580, test_acc=0.3887
[adam][aggressive][epoch 17] train_loss=1.7540, train_acc=0.3518, test_acc=0.3902
[adam][aggressive][epoch 18] train_loss=1.7417, train_acc=0.3536, test_acc=0.4027
[adam][aggressive][epoch 19] train_loss=1.7406, train_acc=0.3585, test_acc=0.4284
[adam][aggressive][epoch 20] train_loss=1.7528, train_acc=0.3491, test_acc=0.4209
saved results to results.json
anova on test accuracy:
                                sum_sq    df           F        PR(>F)
C(optimizer)                  0.175350   1.0  541.527205  2.363959e-11
C(augmentation)               0.015656   2.0   24.175125  6.180350e-05
C(optimizer):C(augmentation)  0.007791   2.0   12.030388  1.357929e-03
Residual                      0.003886  12.0         NaN           NaN
saved plot to test_acc_comparison.png
Message sent successfully!
